,animal_id,breed,age,Success,Sex,Size,life_expectancy,Percent through Life
218,A672545,Chihuahua Shorthair Mix,0.6916447443973677,0,Male,small,15,0.04610964962649118
219,A661774,Chihuahua Shorthair Mix,3.194163999108659,1,Male,small,15,0.21294426660724394
220,A671079,Chihuahua Shorthair Mix,2.0226459133315537,1,Female,small,15,0.13484306088877024
221,A671107,Chihuahua Shorthair Mix,5.115583406154054,1,Male,small,15,0.34103889374360363
222,A676092,Chihuahua Shorthair Mix,10.033651538969924,0,Male,small,15,0.6689101025979949
223,A664169,Chihuahua Shorthair Mix,2.4899724155869047,1,Male,small,15,0.16599816103912698
224,A692382,Chihuahua Shorthair Mix,2.0004935837909823,0,Male,small,15,0.13336623891939883
225,A674043,Chihuahua Shorthair Mix,4.762726134006859,0,Female,small,15,0.3175150756004573
226,A690688,Chihuahua Shorthair Mix,0.25361194579248336,0,Male,small,15,0.016907463052832226
227,A682521,Chihuahua Shorthair Mix,1.520987198003153,1,Female,small,15,0.10139914653354354
228,A596942,Chihuahua Shorthair Mix,8.469637371822222,0,Male,small,15,0.5646424914548148
229,A674233,Chihuahua Shorthair Mix,1.5295355521027507,1,Female,small,15,0.10196903680685004
230,A692960,Chihuahua Shorthair Mix,0.20978071646463195,0,Female,small,15,0.01398538109764213
231,A690545,Chihuahua Shorthair Mix,0.17990330625086987,1,Male,small,15,0.01199355375005799
232,A676808,Chihuahua Shorthair Mix,1.0309531795085913,1,Male,small,15,0.06873021196723943
233,A690188,Chihuahua Shorthair Mix,0.21762748189368858,1,Male,small,15,0.014508498792912572
234,A671732,Chihuahua Shorthair Mix,2.5534956607976587,1,Male,small,15,0.17023304405317724
235,A682672,Chihuahua Shorthair Mix,8.00189447954289,0,Male,small,15,0.5334596319695261
236,A685152,Chihuahua Shorthair Mix,3.0025922655648114,0,Female,small,15,0.20017281770432077
237,A687160,Chihuahua Shorthair Mix,3.0111596329075128,0,Female,small,15,0.20074397552716752
238,A676688,Chihuahua Shorthair Mix,8.083805432159608,0,Female,small,15,0.5389203621439739
239,A494990,Chihuahua Shorthair Mix,11.013210021043857,0,Male,small,15,0.7342140014029238
240,A665423,Chihuahua Shorthair Mix,0.17989570095362822,1,Male,small,15,0.011993046730241881
241,A676433,Chihuahua Shorthair Mix,8.075597415111574,0,Female,small,15,0.5383731610074383
242,A670329,Chihuahua Shorthair Mix,1.5043829328003542,0,Male,small,15,0.10029219552002361
243,A688351,Chihuahua Shorthair Mix,0.18280852979717432,1,Male,small,15,0.012187235319811621
244,A681496,Chihuahua Shorthair Mix,12.026277442764433,0,Female,small,15,0.8017518295176289
245,A668946,Chihuahua Shorthair Mix,2.016436188133759,1,Female,small,15,0.13442907920891725
246,A678618,Chihuahua Shorthair Mix,0.3580136636770243,0,Male,small,15,0.023867577578468288
247,A691053,Chihuahua Shorthair Mix,1.1081811703487714,1,Male,small,15,0.07387874468991809
248,A674414,Chihuahua Shorthair Mix,0.8450340831395884,0,Male,small,15,0.05633560554263923
